UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	15
1	16
0	6
10	2
0	0
1	2
0	3
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	33
7	619
113	1058
22	123
0	658
18	79
11	542
0	175
1	0
3	0
0	1004
1738	1575
1	1018
0	343
0	309
12	918
3	642
31	139
3	684
119	1530
1	1505
0	49
0	0
0	2
0	2
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	637
12	1016
2	163
1	673
3	96
0	32
0	853
1	312
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	2
0	0
0	0
0	20
0	35
23	824
0	13
0	5
0	273
0	744
1	90
0	336
10	6
0	110
3	4
2	15
2	104
11	5
0	140
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	92
0	0
0	0
0	0
0	0
1	0
583	2517
5	204
0	0
0	1652
0	460
1	101
7	2393
0	2318
0	0
12	2
1	4400
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	4
0	4
0	3
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
323	2
63	1944
53	1856
2	86
3	162
1	1551
6	2
0	2
3	1
0	2
1	2
0	1449
5	0
0	0
13	6
0	6
0	0
0	0
0	4
771	14
1	6
0	1
6	5
0	5
0	6
0	2
0	6
0	6
1	322
0	306
0	329
0	0
0	231
0	274
0	326
0	10
0	26
0	271
1	12
5	29
0	1
0	0
0	32
18	129
0	59
0	55
0	42
0	115
7	69
0	80
0	41
0	45
0	44
0	24
0	38
1	85
0	3
0	78
0	20
0	78
0	54
0	14
0	49
0	82
0	71
0	1
0	3
0	1
0	1
0	1
0	2
0	0
9	59
0	59
1	0
0	3
2	6
0	6
0	0
0	3
0	0
0	0
0	0
0	0
74	1175
0	474
4	633
0	329
23	698
0	172
2	176
2	0
0	1
60	229
2	13
0	12
0	50
0	1
3	51
0	47
0	7
0	48
0	7
0	7
1	189
0	13
14	1
0	14
0	7
0	11
0	6
0	0
0	1
0	42
0	0
0	14
0	3
0	40
0	0
936	863
0	129
0	147
2	40
0	3
0	533
0	8
0	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
